ID,Name,Number,Street,ZIP,Phone,Cuisine,An Inspection,,,,Score,,,,Lat,Lng,List of Violation Codes
50009001,KLONG,7,SAINT MARKS PLACE,10003,2125059955,Thai,6/25/2014,Establishment re-opened by DOHMH,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",7,6/25/2014,11/14/2014,Pre-permit (Operational) / Reopening Inspection,40.729513,-73.989166,04H
40669257,SZECHUAN KITCHEN,1518,FIRST AVENUE,10075,2122494615,Chinese,7/22/2011,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,7,7/22/2011,11/14/2014,Cycle Inspection / Reopening Inspection,40.772498,-73.952204,04L
41267927,P.D. O'HURLEY'S,557,12 AVENUE,10036,2126436233,American,5/24/2013,Establishment re-opened by DOHMH,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",8,5/24/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.762979,-74.000732,04J-04H-02G
40387339,UNO CHICAGO GRILL,432,COLUMBUS AVENUE,10024,2125954700,Pizza/Italian,8/9/2011,Establishment re-opened by DOHMH,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",8,8/9/2011,11/14/2014,Cycle Inspection / Reopening Inspection,40.7833,-73.974957,04H
41202879,LUSCIOUS THAI RESTAURANT,1099,1 AVENUE,10065,2128131188,Thai,6/20/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,9,6/20/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.760524,-73.9617,04M
41567540,WIMPY'S RESTAURANT 5,2334,2 AVENUE,10035,2128283661,American,6/30/2011,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",9,6/30/2011,11/14/2014,Cycle Inspection / Reopening Inspection,40.799262,-73.935752,06D
41721343,COFFEE SHOP DINER,442,EAST   14 STREET,10009,2122605842,American,6/21/2013,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",9,6/21/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection,40.730294,-73.980806,06D
41627515,BANGIA BAR & LOUNGE,11,EAST   32 STREET,10016,2126796790,Korean,3/1/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,3/1/2012,11/14/2014,Pre-permit (Operational) / Reopening Inspection,40.746852,-73.984522,04L
50000133,CROSS CULTURE KITCHEN,62,EAST  116 STREET,10029,2128603900,African,11/6/2013,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",9,11/6/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection,40.799697,-73.94414,04N
41550229,TULSI RESTAURANT,211,EAST 46 STREET,10017,2128880820,Indian,12/3/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,12/3/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.753217,-73.971822,04L
41443107,COUNTRY PAN FRIED CHICKEN,2841,8 AVENUE,10039,2122811800,Soul Food,7/15/2011,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,7/15/2011,11/14/2014,Cycle Inspection / Reopening Inspection,40.827026,-73.939228,04L
41305482,NOMADO 33,165,EAST 33 STREET,10016,2128892833,Japanese,3/28/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,3/28/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.745441,-73.979052,04L
41313487,"DUNKIN' DONUTS, BASKIN ROBBINS",218,EAST   14 STREET,11226,2123889992,Donuts,7/6/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,9,7/6/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.666633,-73.990306,04M
50008279,GARLIC PIZZA BAR,629,2 AVENUE,10016,6465599500,Pizza/Italian,4/30/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,4/30/2014,11/14/2014,Pre-permit (Operational) / Reopening Inspection,40.74518,-73.975947,04L
40999185,GAETANA'S CUCINA ITALIANA,143,CHRISTOPHER STREET,10014,2126753913,Italian,9/5/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,9/5/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.732961,-74.007796,04L-04K-06E-04N
40700664,PHO BANG RESTAURANT,157,MOTT STREET,10013,2129663797,Vietnamese/Cambodian/Malaysia,12/24/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,12/24/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.719515,-73.996577,04L-06E-04L
40396074,MENDY'S,10,PARK AVENUE,10016,2125761010,Jewish/Kosher,8/1/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,9,8/1/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.747573,-73.98151,04M
41627744,SILVER PALACE,3846,BROADWAY,10032,2129278000,Chinese,9/14/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,9,9/14/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.836194,-73.943213,04M
41297910,CLUB GERA GERA,238,EAST 53 STREET,10022,2128880558,Asian,1/10/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,1/10/2014,11/14/2014,Cycle Inspection / Reopening Inspection,40.756946,-73.968053,04L
41697469,NEW FRESCO TORTILLAS TACO,100,WEST   83 STREET,10024,2127129371,Mexican,2/27/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,2/27/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection,40.78459,-73.974056,04L
40720599,PEKING DUCK HOUSE,28,MOTT STREET,10013,2122271810,Chinese,12/12/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,9,12/12/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.714614,-73.998552,04M
40394723,THE ABBEY PUB,237,WEST  105 STREET,10025,2122228713,Irish,3/14/2012,Establishment re-opened by DOHMH,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",9,3/14/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.800532,-73.967435,04H-05H-06D
41563682,H.K WONTON GARDEN,79,MULBERRY STREET,10013,2123491495,Chinese,5/22/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,9,5/22/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.716421,-73.999161,04M
41590295,RISTORANTE LUNA,115,MULBERRY STREET,10013,2124330132,Italian,2/27/2014,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,9,2/27/2014,11/14/2014,Cycle Inspection / Reopening Inspection,40.717685,-73.998444,04M
41611339,PRIMO PIZZA 84,57,WEST   84 STREET,10024,2128742000,Pizza/Italian,4/17/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,4/17/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.785231,-73.972842,04L
40386569,SAL AND CARMINE PIZZA,2671,BROADWAY,10025,2126637651,Pizza,11/18/2011,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",9,11/18/2011,11/14/2014,Cycle Inspection / Reopening Inspection,40.798383,-73.969439,04N-04L
41626151,CHEN WONG RESTAURANT,197,MADISON STREET,10002,2125777105,Chinese,10/7/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,10/7/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.712737,-73.990288,04L
40378579,ANDREWS COFFEE SHOP,463,7 AVENUE,10018,2126951962,American,10/21/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,9,10/21/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.751699,-73.989696,04M
40378272,MARY ANN'S,116,8 AVENUE,10011,2126330877,Mexican,9/16/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,9,9/16/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.740884,-74.00142,04M
41084540,OPEN HOUSE,244,EAST HOUSTON STREET,10002,9172259018,American,2/6/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,9,2/6/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.722351,-73.985606,04M
41011653,MOZZARELLI'S,38,EAST   23 STREET,10010,2124756777,Italian,3/19/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,3/19/2014,11/14/2014,Cycle Inspection / Reopening Inspection,40.740335,-73.987443,04L
50001103,CRISPIN'S HELL'S KITCHEN,764,10 AVENUE,10019,2125860888,American,11/4/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,11/4/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.765736,-73.990697,04L
41501115,MILANO'S PIZZERIA,2255,2 AVENUE,10029,2129965141,Pizza,9/12/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,9/12/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.796896,-73.938162,04L
40376944,TOMOE SUSHI,172,THOMPSON STREET,10012,2127779346,Japanese,7/12/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10,7/12/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.727674,-74.000102,04L-04M
40400957,ROHM THAI,27,EAST 20 STREET,10003,2122287681,Thai,4/13/2012,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10,4/13/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.739083,-73.989044,04N-04M-02B-04J
41447856,WILD,535,HUDSON STREET,10014,2129292920,Pizza,11/1/2011,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10,11/1/2011,11/14/2014,Cycle Inspection / Reopening Inspection,40.734609,-74.006405,04N
41568332,THE DUCK,2171,2 AVENUE,10029,2128313464,American,10/4/2013,Establishment re-opened by DOHMH,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10,10/4/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.794239,-73.940049,04H-04N-04A
41024987,NEIL'S COFEE SHOP,961,LEXINGTON AVENUE,10021,2126287474,American,10/18/2011,Establishment re-opened by DOHMH,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10,10/18/2011,11/14/2014,Cycle Inspection / Reopening Inspection,40.768901,-73.962995,06E
40424894,AMY'S BREAD,672,9 AVENUE,10036,2129772670,Bakery,3/4/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10,3/4/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.7612,-73.990218,04L
41199139,MACCHIATO ESPRESSO BAR,141,EAST   44 STREET,10017,2128676772,American,12/3/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,10,12/3/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.751997,-73.974585,04M
41266621,MAGNOLIA BAKERY,401,BLEECKER STREET,10014,2124622572,Bakery,2/16/2013,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10,2/16/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.73588,-74.004967,04N
41181651,BentOn,27,LUDLOW STREET,10002,2122199955,Japanese,3/25/2013,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10,3/25/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.715502,-73.990803,06D
41187602,INDIGO INDIAN BISTRO,283,COLUMBUS AVENUE,10023,2125793900,Indian,10/8/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,10,10/8/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.778247,-73.977954,04M
41631799,PARM,248,MULBERRY STREET,10012,2129937189,Italian,2/13/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10,2/13/2014,11/14/2014,Cycle Inspection / Reopening Inspection,40.723027,-73.995646,04L
41616095,BLOSSOM DU JOUR,165,AMSTERDAM AVENUE,10023,2127999010,Vegetarian,10/22/2013,Establishment re-opened by DOHMH,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,10,10/22/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.77567,-73.983793,05D
40390902,SCOTTY'S DINER,336,LEXINGTON AVENUE,10016,2129861520,American,5/9/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10,5/9/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.749781,-73.977572,04L
50007159,ANTIBES BISTRO,112,SUFFOLK STREET,10002,2125336088,French,6/24/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10,6/24/2014,11/14/2014,Pre-permit (Operational) / Reopening Inspection,40.718772,-73.98591,04L
41250398,TANDOORI,210,WEST   94 STREET,10025,2129327720,Indian,3/31/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,3/31/2014,11/14/2014,Cycle Inspection / Reopening Inspection,40.792982,-73.972169,04L
40692411,HAVANA ALMA DE CUBA,94,CHRISTOPHER STREET,10014,2122423800,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/6/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,2/6/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.733208,-74.004514,04L
41582648,THE IRISH EXIT,978,2 AVENUE,10022,2127558383,Irish,3/9/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,3/9/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.755774,-73.967457,04L
41719800,SALSA Y SALSA,206,SEVENTH AVENUE,10011,2129292678,Mexican,4/15/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,4/15/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection,40.743358,-73.996197,04L
40401775,ORIENTAL EXPRESS,62,WILLIAM STREET,10005,2127979477,Chinese,3/6/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,11,3/6/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.707093,-74.008489,04M-02B-04H
41473636,HECHO EN DUMBO,354,BOWERY,10012,2129374245,Mexican,8/3/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,8/3/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.726929,-73.99208,04L-04N-06C
40875849,YVONNE YVONNE RESTAURANT,301,WEST  135 STREET,10030,9173480386,Caribbean,12/6/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,12/6/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.816529,-73.946568,04L
41596546,MARGON RESTAURANT,136,WEST   46 STREET,10036,2123545013,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/31/2011,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,8/31/2011,11/14/2014,Pre-permit (Operational) / Reopening Inspection,40.757906,-73.983962,04L
50001962,AROME,325,BROADWAY,10007,2122337447,Continental,9/6/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,11,9/6/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection,40.716153,-74.005011,04M
40585625,GRANO TRATTORIA,21,GREENWICH AVENUE,10014,2126452121,Italian,3/18/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,11,3/18/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.734542,-74.000176,04M
41542520,NEW STAR CAFE,552,7 AVENUE,10018,2127192680,American,5/1/2014,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,12,5/1/2014,11/14/2014,Cycle Inspection / Reopening Inspection,40.754635,-73.988385,04M-04N-04L-04H
50003549,EL SABROSO RESTAURANT,265,WEST   37 STREET,10018,2122841118,Spanish,12/13/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,12,12/13/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection,40.75419,-73.991748,04M
41143058,THE ROOSEVELT HOTEL,45,EAST   45 STREET,10017,2128856076,American,8/17/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,12,8/17/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.75475,-73.977479,04M-04N-04M-06D
40920992,GATSBY'S,53,SPRING STREET,10012,2123344430,American,1/25/2012,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12,1/25/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.722324,-73.996542,04N-04K-05D-04N
40370436,ROSSINI'S,108,EAST   38 STREET,10016,2126830135,Italian,10/25/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",12,10/25/2013,11/14/2014,Cycle Inspection / Re-inspection,40.749171,-73.978876,06D-04A
40730597,STIR CAFE,32,BROADWAY,10004,2124255123,American,11/15/2012,Establishment re-opened by DOHMH,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",12,11/15/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.70584,-74.012778,06C-04D-02G-04L
41509012,MAKANA,2245,1 AVENUE,10029,2129963534,Hawaiian,4/11/2014,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,12,4/11/2014,11/14/2014,Cycle Inspection / Reopening Inspection,40.795675,-73.936001,04M-04N-04A
41653942,SUPER DUMPLING,251,EAST 45 STREET,10017,2128089388,Chinese,7/31/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,12,7/31/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.751938,-73.970961,04M
41573408,LAUT,15,EAST   17 STREET,10003,2122068989,Thai,12/20/2013,Establishment re-opened by DOHMH,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,12,12/20/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.737608,-73.991072,03A
40545071,CITY MARKET CAFE,178,5 AVENUE,10010,2122068922,American,11/16/2011,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,12,11/16/2011,11/14/2014,Cycle Inspection / Reopening Inspection,40.741268,-73.990196,04M
40398572,DINASTIA CHINA,145,WEST   72 STREET,10023,2123623801,Chinese,3/13/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,12,3/13/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.778328,-73.980223,04M
50010820,MARGOT RESTAURANT EL BASEMENT,3820,BROADWAY,10032,2127818494,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/3/2014,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12,9/3/2014,11/14/2014,Pre-permit (Operational) / Reopening Inspection,40.835283,-73.943582,04N
41708033,JOHN'S SHANGHAI,144,WEST 46 STREET,10036,2123910888,Chinese,2/25/2013,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",12,2/25/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection,40.757898,-73.984214,06D
41271436,MENCHANKO-TEI 45,131,EAST 45 STREET,10017,2129866805,Japanese,7/25/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,13,7/25/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.753361,-73.974181,04M-04M-06D
40931972,88 PALACE RESTAURANT,88,EAST BROADWAY,10002,2129418886,Chinese,12/13/2012,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",13,12/13/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.713836,-73.99414,04N-04L-04M-04L-06C
41270541,FIORINI,20915,EAST   56 STREET,10022,2123080830,Italian,9/23/2011,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,13,9/23/2011,11/14/2014,Cycle Inspection / Reopening Inspection,40.759578,-73.96803,04L
41575741,MINI THAI CAFE,105,AVENUE A,10009,2125332928,Thai,3/16/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,13,3/16/2012,11/14/2014,Cycle Inspection / Reopening Inspection,40.725933,-73.983928,04L
40933887,PEEP,177,PRINCE STREET,10012,2122547337,Thai,3/29/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,13,3/29/2013,11/14/2014,Cycle Inspection / Reopening Inspection,40.726431,-74.001916,04L
50001650,SEMBRADO,432,EAST   13 STREET,10009,2127294206,Mexican,8/15/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",14,8/15/2013,11/14/2014,Pre-permit (Operational) / Re-inspection,40.729922,-73.981873,04N
41369316,LILI'S ASIAN CUISINE,1500,3 AVENUE,10028,2126391313,Chinese/Japanese,4/4/2014,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,14,4/4/2014,11/14/2014,Cycle Inspection / Reopening Inspection,40.778023,-73.954906,04M-04N
