,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,Address,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40396074,MENDY'S,MANHATTAN,10,PARK AVENUE,10016,2125761010,Jewish/Kosher,8/1/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"10 PARK AVENUE, New York City, NY 10016",9,C,8/1/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41627744,SILVER PALACE,MANHATTAN,3846,BROADWAY,10032,2129278000,Chinese,9/14/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"3846 BROADWAY, New York City, NY 10032",9,C,9/14/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41297910,CLUB GERA GERA,MANHATTAN,238,EAST 53 STREET,10022,2128880558,Asian,1/10/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"238 EAST 53 STREET, New York City, NY 10022",9,C,1/10/2014,11/14/2014,Cycle Inspection / Reopening Inspection
40999185,GAETANA'S CUCINA ITALIANA,MANHATTAN,143,CHRISTOPHER STREET,10014,2126753913,Italian,9/5/2013,Establishment re-opened by DOHMH,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,"143 CHRISTOPHER STREET, New York City, NY 10014",9,C,9/5/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41697469,NEW FRESCO TORTILLAS TACO,MANHATTAN,100,WEST   83 STREET,10024,2127129371,Mexican,2/27/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"100 WEST   83 STREET, New York City, NY 10024",9,C,2/27/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection
40720599,PEKING DUCK HOUSE,MANHATTAN,28,MOTT STREET,10013,2122271810,Chinese,12/12/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"28 MOTT STREET, New York City, NY 10013",9,C,12/12/2012,11/14/2014,Cycle Inspection / Reopening Inspection
40394723,THE ABBEY PUB,MANHATTAN,237,WEST  105 STREET,10025,2122228713,Irish,3/14/2012,Establishment re-opened by DOHMH,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","237 WEST  105 STREET, New York City, NY 10025",9,C,3/14/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41563682,H.K WONTON GARDEN,MANHATTAN,79,MULBERRY STREET,10013,2123491495,Chinese,5/22/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"79 MULBERRY STREET, New York City, NY 10013",9,C,5/22/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41590295,RISTORANTE LUNA,MANHATTAN,115,MULBERRY STREET,10013,2124330132,Italian,2/27/2014,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"115 MULBERRY STREET, New York City, NY 10013",9,C,2/27/2014,11/14/2014,Cycle Inspection / Reopening Inspection
41611339,PRIMO PIZZA 84,MANHATTAN,57,WEST   84 STREET,10024,2128742000,Pizza/Italian,4/17/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"57 WEST   84 STREET, New York City, NY 10024",9,C,4/17/2013,11/14/2014,Cycle Inspection / Reopening Inspection
40386569,SAL AND CARMINE PIZZA,MANHATTAN,2671,BROADWAY,10025,2126637651,Pizza,11/18/2011,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","2671 BROADWAY, New York City, NY 10025",9,C,11/18/2011,11/14/2014,Cycle Inspection / Reopening Inspection
41626151,CHEN WONG RESTAURANT,MANHATTAN,197,MADISON STREET,10002,2125777105,Chinese,10/7/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"197 MADISON STREET, New York City, NY 10002",9,C,10/7/2013,11/14/2014,Cycle Inspection / Reopening Inspection
40378579,ANDREWS COFFEE SHOP,MANHATTAN,463,7 AVENUE,10018,2126951962,American,10/21/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"463 7 AVENUE, New York City, NY 10018",9,C,10/21/2013,11/14/2014,Cycle Inspection / Reopening Inspection
40386569,SAL AND CARMINE PIZZA,MANHATTAN,2671,BROADWAY,10025,2126637651,Pizza,11/18/2011,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"2671 BROADWAY, New York City, NY 10025",9,C,11/18/2011,11/14/2014,Cycle Inspection / Reopening Inspection
40378272,MARY ANN'S,MANHATTAN,116,8 AVENUE,10011,2126330877,Mexican,9/16/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"116 8 AVENUE, New York City, NY 10011",9,C,9/16/2013,11/14/2014,Cycle Inspection / Reopening Inspection
40565492,MIKE'S COFFEE SHOP,MANHATTAN,44,EAST   32 STREET,10016,6463994749,Café/Coffee/Tea,10/8/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"44 EAST   32 STREET, New York City, NY 10016",9,C,10/8/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41084540,OPEN HOUSE,MANHATTAN,244,EAST HOUSTON STREET,10002,9172259018,American,2/6/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"244 EAST HOUSTON STREET, New York City, NY 10002",9,C,2/6/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41011653,MOZZARELLI'S,MANHATTAN,38,EAST   23 STREET,10010,2124756777,Italian,3/19/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"38 EAST   23 STREET, New York City, NY 10010",9,C,3/19/2014,11/14/2014,Cycle Inspection / Reopening Inspection
50001103,CRISPIN'S HELL'S KITCHEN,MANHATTAN,764,10 AVENUE,10019,2125860888,American,11/4/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"764 10 AVENUE, New York City, NY 10019",9,C,11/4/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41501115,MILANO'S PIZZERIA,MANHATTAN,2255,2 AVENUE,10029,2129965141,Pizza,9/12/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"2255 2 AVENUE, New York City, NY 10029",9,C,9/12/2012,11/14/2014,Cycle Inspection / Reopening Inspection
40376944,TOMOE SUSHI,MANHATTAN,172,THOMPSON STREET,10012,2127779346,Japanese,7/12/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"172 THOMPSON STREET, New York City, NY 10012",10,C,7/12/2013,11/14/2014,Cycle Inspection / Reopening Inspection
40400957,ROHM THAI,MANHATTAN,27,EAST 20 STREET,10003,2122287681,Thai,4/13/2012,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","27 EAST 20 STREET, New York City, NY 10003",10,C,4/13/2012,11/14/2014,Cycle Inspection / Reopening Inspection
40376944,TOMOE SUSHI,MANHATTAN,172,THOMPSON STREET,10012,2127779346,Japanese,7/12/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"172 THOMPSON STREET, New York City, NY 10012",10,C,7/12/2013,11/14/2014,Cycle Inspection / Reopening Inspection
40398588,WORLD CUP CAFE,MANHATTAN,956,LEXINGTON AVENUE,10021,2127176888,Café/Coffee/Tea,8/20/2012,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","956 LEXINGTON AVENUE, New York City, NY 10021",10,C,8/20/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41447856,WILD,MANHATTAN,535,HUDSON STREET,10014,2129292920,Pizza,11/1/2011,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","535 HUDSON STREET, New York City, NY 10014",10,C,11/1/2011,11/14/2014,Cycle Inspection / Reopening Inspection
41568332,THE DUCK,MANHATTAN,2171,2 AVENUE,10029,2128313464,American,10/4/2013,Establishment re-opened by DOHMH,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","2171 2 AVENUE, New York City, NY 10029",10,C,10/4/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41024987,NEIL'S COFEE SHOP,MANHATTAN,961,LEXINGTON AVENUE,10021,2126287474,American,10/18/2011,Establishment re-opened by DOHMH,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","961 LEXINGTON AVENUE, New York City, NY 10021",10,C,10/18/2011,11/14/2014,Cycle Inspection / Reopening Inspection
40424894,AMY'S BREAD,MANHATTAN,672,9 AVENUE,10036,2129772670,Bakery,3/4/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"672 9 AVENUE, New York City, NY 10036",10,C,3/4/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41199139,MACCHIATO ESPRESSO BAR,MANHATTAN,141,EAST   44 STREET,10017,2128676772,American,12/3/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"141 EAST   44 STREET, New York City, NY 10017",10,C,12/3/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41266621,MAGNOLIA BAKERY,MANHATTAN,401,BLEECKER STREET,10014,2124622572,Bakery,2/16/2013,Establishment re-opened by DOHMH,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","401 BLEECKER STREET, New York City, NY 10014",10,C,2/16/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41181651,BentOn,MANHATTAN,27,LUDLOW STREET,10002,2122199955,Japanese,3/25/2013,Establishment re-opened by DOHMH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","27 LUDLOW STREET, New York City, NY 10002",10,C,3/25/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41187602,INDIGO INDIAN BISTRO,MANHATTAN,283,COLUMBUS AVENUE,10023,2125793900,Indian,10/8/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"283 COLUMBUS AVENUE, New York City, NY 10023",10,C,10/8/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41631799,PARM,MANHATTAN,248,MULBERRY STREET,10012,2129937189,Italian,2/13/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"248 MULBERRY STREET, New York City, NY 10012",10,C,2/13/2014,11/14/2014,Cycle Inspection / Reopening Inspection
41616095,BLOSSOM DU JOUR,MANHATTAN,165,AMSTERDAM AVENUE,10023,2127999010,Vegetarian,10/22/2013,Establishment re-opened by DOHMH,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,"165 AMSTERDAM AVENUE, New York City, NY 10023",10,C,10/22/2013,11/14/2014,Cycle Inspection / Reopening Inspection
40390902,SCOTTY'S DINER,MANHATTAN,336,LEXINGTON AVENUE,10016,2129861520,American,5/9/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"336 LEXINGTON AVENUE, New York City, NY 10016",10,C,5/9/2013,11/14/2014,Cycle Inspection / Reopening Inspection
40400957,ROHM THAI,MANHATTAN,27,EAST 20 STREET,10003,2122287681,Thai,4/13/2012,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"27 EAST 20 STREET, New York City, NY 10003",10,C,4/13/2012,11/14/2014,Cycle Inspection / Reopening Inspection
50007159,ANTIBES BISTRO,MANHATTAN,112,SUFFOLK STREET,10002,2125336088,French,6/24/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"112 SUFFOLK STREET, New York City, NY 10002",10,C,6/24/2014,11/14/2014,Pre-permit (Operational) / Reopening Inspection
41250398,TANDOORI,MANHATTAN,210,WEST   94 STREET,10025,2129327720,Indian,3/31/2014,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"210 WEST   94 STREET, New York City, NY 10025",11,C,3/31/2014,11/14/2014,Cycle Inspection / Reopening Inspection
40692411,HAVANA ALMA DE CUBA,MANHATTAN,94,CHRISTOPHER STREET,10014,2122423800,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/6/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"94 CHRISTOPHER STREET, New York City, NY 10014",11,C,2/6/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41582648,THE IRISH EXIT,MANHATTAN,978,2 AVENUE,10022,2127558383,Irish,3/9/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"978 2 AVENUE, New York City, NY 10022",11,C,3/9/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41719800,SALSA Y SALSA,MANHATTAN,206,SEVENTH AVENUE,10011,2129292678,Mexican,4/15/2013,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"206 SEVENTH AVENUE, New York City, NY 10011",11,C,4/15/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection
40401775,ORIENTAL EXPRESS,MANHATTAN,62,WILLIAM STREET,10005,2127979477,Chinese,3/6/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"62 WILLIAM STREET, New York City, NY 10005",11,C,3/6/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41473636,HECHO EN DUMBO,MANHATTAN,354,BOWERY,10012,2129374245,Mexican,8/3/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"354 BOWERY, New York City, NY 10012",11,C,8/3/2012,11/14/2014,Cycle Inspection / Reopening Inspection
40875849,YVONNE YVONNE RESTAURANT,MANHATTAN,301,WEST  135 STREET,10030,9173480386,Caribbean,12/6/2012,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"301 WEST  135 STREET, New York City, NY 10030",11,C,12/6/2012,11/14/2014,Cycle Inspection / Reopening Inspection
41596546,MARGON RESTAURANT,MANHATTAN,136,WEST   46 STREET,10036,2123545013,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/31/2011,Establishment re-opened by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"136 WEST   46 STREET, New York City, NY 10036",11,C,8/31/2011,11/14/2014,Pre-permit (Operational) / Reopening Inspection
50001962,AROME,MANHATTAN,325,BROADWAY,10007,2122337447,Continental,9/6/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"325 BROADWAY, New York City, NY 10007",11,C,9/6/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection
40585625,GRANO TRATTORIA,MANHATTAN,21,GREENWICH AVENUE,10014,2126452121,Italian,3/18/2013,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,"21 GREENWICH AVENUE, New York City, NY 10014",11,C,3/18/2013,11/14/2014,Cycle Inspection / Reopening Inspection
41687073,THE QUARTER,MANHATTAN,522,HUDSON STREET,10014,2126913252,American,2/1/2013,Establishment re-opened by DOHMH,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.","522 HUDSON STREET, New York City, NY 10014",11,C,2/1/2013,11/14/2014,Pre-permit (Operational) / Reopening Inspection
